381,true,1710.0,65,Out of Time,White,10+0,rustam9,1020,cromanoide,1200
31,true,1715.0,64,Resign,Black,10+10,biyanivedant01,1358,shivangithegenius,1036
1157,true,1721.0,14,Resign,Black,15+5,generiklemons,1142,vocka,1150
559,true,1722.5,16,Resign,White,15+15,hill_j,1099,doctormerp,1173
1225,true,1726.0,29,Out of Time,White,10+0,jesteroz,1286,cerebral,1083
39,false,1728.0,37,Resign,White,15+0,jojo58,1500,shivangithegenius,978
43,false,1728.0,30,Resign,White,30+0,stephen789,1500,shivangithegenius,978
45,false,1728.0,41,Resign,White,20+0,hmbrgr,1500,shivangithegenius,978
46,false,1728.0,49,Resign,White,15+0,jjwrchess,1500,shivangithegenius,978
52,false,1728.0,7,Resign,White,10+0,lucasimeon,1500,shivangithegenius,978
54,false,1728.0,36,Resign,Black,10+0,lucasimeon,1500,shivangithegenius,978
371,true,1733.0,163,Out of Time,Draw,10+0,rustam9,972,granham,1247
519,true,1733.0,39,Mate,White,15+2,tensors,1322,firstthebest,1072
940,false,1739.0,41,Resign,White,10+1,dlealgold,1034,mccheese,1222
611,true,1742.5,70,Out of Time,Black,10+0,vinhancock,1287,snaek161616,1099
730,true,1744.5,50,Mate,Black,30+0,theanonymousone,1353,marlowe43,1068
557,true,1745.5,53,Mate,White,15+15,czungun,1247,hill_j,1122
563,true,1746.0,105,Resign,White,15+15,karfedericol,1242,hill_j,1125
935,true,1748.5,15,Mate,White,30+0,chondrolli,1331,mccheese,1083
529,true,1756.0,15,Resign,White,15+15,hill_j,1172,piotrpiotr,1170
26,true,1758.0,69,Mate,White,10+10,shivangithegenius,1078,sureka_akshat,1219
1295,false,1759.0,74,Mate,Black,15+15,canexd,1104,lordmete,1207
24,true,1759.5,36,Resign,White,10+0,robotsmoke,1307,shivangithegenius,1106
1236,true,1760.5,57,Mate,White,10+0,jesteroz,1277,ezequiel95,1122
462,true,1762.0,11,Resign,White,5+5,fischerdipper,1646,underhman,939
37,true,1762.5,28,Resign,White,10+0,rico21,1569,shivangithegenius,978
936,true,1763.0,37,Resign,White,20+5,j_karlo,1266,mccheese,1130
527,true,1764.0,45,Resign,White,10+0,bassim,1170,hill_j,1179
933,true,1768.5,44,Resign,Black,8+0,mccheese,1057,jacknocler,1240
1216,true,1769.5,33,Mate,White,10+0,jesteroz,1257,gymhgy,1141
1248,false,1770.0,110,Resign,Black,10+0,crabcake,1016,jesteroz,1262
526,true,1771.5,32,Resign,Black,15+15,blinskey,1007,anotherchessplayer1,1268
256,false,1772.0,43,Resign,White,10+4,thegrim123321,1346,batuhh,1099
566,true,1774.5,65,Mate,White,15+15,hill_j,1111,mogadorlionne,1219
531,true,1775.5,59,Resign,White,15+15,beef_cake,1171,hill_j,1190
549,true,1776.0,61,Resign,White,15+15,joaomatz,1184,hill_j,1184
122,true,1778.0,59,Mate,White,10+0,cdvh,1706,dashy1,925
384,true,1780.5,44,Resign,Black,10+0,rustam9,1115,davidmcdavidface,1223
538,true,1781.0,74,Mate,Black,10+0,minigunexplosive,1250,hill_j,1156
127,true,1781.5,120,Draw,Draw,15+15,sureka_akshat,1139,sassou,1212
200,false,1789.0,106,Mate,Black,30+0,marmoraka5,968,taranga,1305
928,true,1789.5,40,Mate,Black,20+3,mccheese,901,reze,1339
537,true,1792.5,73,Resign,White,15+15,gabofd,1245,hill_j,1170
533,true,1796.5,22,Resign,Black,15+15,plahbrogan,1273,hill_j,1160
554,true,1797.0,27,Mate,White,15+15,hill_j,1142,tricky-trojan,1226
141,true,1800.5,95,Mate,White,15+15,sassou,1223,agilm,1189
564,true,1800.5,60,Resign,Black,15+15,hill_j,1133,karfedericol,1234
385,true,1808.0,20,Resign,Black,10+0,rustam9,1190,danst3rs,1213
718,true,1808.5,62,Resign,Black,10+0,wiggleitjiggleit,1455,jourapoura,1081
737,true,1811.5,125,Mate,White,90+120,tedcarter,911,theanonymousone,1356
1219,true,1811.5,100,Out of Time,Black,10+0,jesteroz,1277,riccovieira,1173
1221,true,1811.5,95,Out of Time,Draw,10+0,jesteroz,1291,apolo6612,1166
542,true,1812.0,77,Resign,White,10+0,plengkung,1278,hill_j,1173
1226,true,1812.0,75,Out of Time,White,10+0,jesteroz,1278,hashashinsquad,1173
551,true,1812.5,51,Resign,White,15+15,hill_j,1157,srspanks,1234
1211,true,1814.5,57,Resign,White,10+0,montromsey,1185,jesteroz,1222
153,true,1816.0,35,Resign,White,15+15,dangerflaps,1186,sassou,1223
154,true,1818.0,85,Mate,White,15+15,sassou,1212,shazzam9999,1212
151,false,1823.5,77,Mate,White,10+2,gotochess,1191,sassou,1228
516,true,1825.0,52,Resign,Black,15+2,tensors,1352,gambeet21,1149
144,true,1826.5,12,Draw,Draw,15+15,sassou,1215,lumipa,1219
148,true,1827.0,72,Mate,Black,15+15,gonzalogp98,1212,sassou,1221
939,false,1829.0,33,Resign,White,15+15,mauroduprat,1214,mccheese,1222
143,true,1829.5,97,Mate,White,15+15,failedocean,1227,sassou,1216
1215,true,1830.5,29,Resign,White,10+0,gymhgy,1133,jesteroz,1264
613,true,1835.5,75,Resign,White,10+0,alihasanzadeh,1211,snaek161616,1230
404,false,1836.5,47,Resign,White,25+0,deekay17,959,jutton1,1357
406,false,1836.5,76,Mate,Black,25+0,deekay17,959,jutton1,1357
726,true,1836.5,62,Resign,Black,10+3,theanonymousone,1325,polasara,1174
540,true,1837.5,26,Resign,Black,15+15,hill_j,1173,smashtoblack,1251
550,true,1837.5,19,Resign,White,15+15,hill_j,1171,elcid_barrett,1252
226,true,1839.0,55,Mate,White,20+5,taranga,1240,kingofchess2017,1219
145,true,1840.5,30,Resign,White,15+15,fastandbulbous420,1227,sassou,1227
123,true,1841.0,26,Out of Time,Black,15+15,mosheaugustyn,1244,sassou,1219
132,true,1842.0,24,Resign,Black,15+15,trelynn17,1132,sassou,1276
20,false,1844.0,25,Resign,White,11+0,g-ios,1500,shivangithegenius,1094
23,false,1844.0,17,Resign,White,15+5,storm28rus,1500,shivangithegenius,1094
539,true,1845.0,92,Resign,Black,10+0,hill_j,1164,martan1208,1263
545,true,1846.5,73,Out of Time,White,10+0,agarahman,1353,hill_j,1170
19,false,1847.0,101,Resign,Black,15+15,shivangithegenius,1094,slam_ment,1300
1228,true,1848.5,40,Resign,Black,10+0,showview,1173,jesteroz,1262
225,true,1850.0,113,Mate,White,10+0,hallowdance,1232,taranga,1234
610,true,1850.5,52,Out of Time,Black,10+0,snaek161616,1245,labg141,1228
215,false,1851.0,74,Resign,White,15+0,taranga,1280,italiantranslator,1211
