73,TRUE,54,Mate,Black,20+5,aminox,1207,oldpaths,1588
74,TRUE,54,Resign,Black,15+5,oldpaths,1595,sale0706,1547
75,TRUE,37,Resign,White,15+5,redar1,1855,oldpaths,1599
76,TRUE,50,Resign,White,15+5,oldpaths,1589,insequitur,1547
77,TRUE,131,Resign,White,30+0,oldpaths,1571,tb-123,1728
78,TRUE,48,Resign,White,30+0,tb-123,1720,oldpaths,1579
79,TRUE,47,Resign,Black,15+5,oldpaths,1579,iris_foxspring,2105
80,TRUE,64,Mate,Black,15+5,zoro55,1768,oldpaths,1560
81,TRUE,61,Resign,White,15+5,oldpaths,1552,geburah,1436
82,TRUE,57,Mate,White,15+5,oldpaths,1536,urmil007,1667
83,TRUE,51,Resign,White,15+5,serai,1521,oldpaths,1549
84,TRUE,58,Mate,Black,15+5,allahdeweswin,1251,oldpaths,1545
85,TRUE,71,Resign,White,15+5,oldpaths,1537,antoniogallero,1408
86,TRUE,114,Resign,White,15+5,oldpaths,1522,matheuswillx,1512
87,TRUE,39,Resign,White,15+5,euler_jr,1602,oldpaths,1532
88,TRUE,20,Resign,Black,15+5,oldpaths,1543,euler_jr,1593
89,TRUE,48,Resign,Black,30+0,oldpaths,1556,krillnor,1539
90,TRUE,34,Mate,Black,20+10,hoanghieudro2,1409,oldpaths,1548
91,TRUE,51,Resign,White,20+10,oldpaths,1539,hoanghieudro2,1418
92,TRUE,69,Resign,White,20+10,ehabhaddad,1603,oldpaths,1550
93,TRUE,28,Resign,White,20+10,oldpaths,1542,gabrielsol,1399
94,TRUE,62,Resign,Black,20+10,oldpaths,1546,crushmik,1877
95,TRUE,62,Mate,Black,20+10,amary33,1134,oldpaths,1535
96,TRUE,85,Mate,White,20+10,oldpaths,1513,remisero,1784
97,TRUE,38,Resign,White,20+10,oldpaths,1501,ryan94,1445
98,FALSE,14,Resign,White,45+0,lotfibma,1500,hollyandclaws,1500
99,TRUE,113,Draw,Draw,15+0,avelez8,1745,anonymous1705,1714
100,TRUE,62,Resign,White,15+0,avelez8,1734,ars01,1748
101,TRUE,101,Resign,White,10+0,salah04,1942,avelez8,1739
102,TRUE,75,Out of Time,White,10+0,avelez8,1724,vincenzo2000,1855
103,TRUE,135,Mate,White,10+0,majid_alsalhi,1951,avelez8,1729
104,TRUE,81,Out of Time,White,10+0,avelez8,1726,pavankumarg,1388
105,TRUE,46,Resign,Black,10+0,avelez8,1735,mrmaccc,1806
106,TRUE,70,Mate,Black,10+0,hopefullman15,1597,avelez8,1728
107,TRUE,39,Resign,White,10+0,laeca53,1743,avelez8,1738
108,TRUE,91,Resign,White,10+0,totoymate,1721,avelez8,1750
109,TRUE,137,Out of Time,White,10+0,avelez8,1746,frynoodles,1487
110,TRUE,46,Resign,Black,10+0,jdalcheco,1744,avelez8,1735
111,TRUE,18,Resign,Black,10+0,avelez8,1749,yolandoparada,1631
112,TRUE,28,Resign,Black,10+0,avelez8,1769,murattibogurcu,1396
113,TRUE,40,Resign,Black,5+8,cdvh,1795,hunecel,1760
114,TRUE,111,Mate,White,15+0,hafedfree,1729,cdvh,1795
115,TRUE,54,Mate,Black,10+0,decem,1795,cdvh,1784
116,TRUE,33,Resign,White,10+0,cdvh,1770,japcan,1872
117,TRUE,90,Resign,Black,10+0,cdvh,1783,raubstein,1721
118,TRUE,90,Resign,Black,10+0,ashishbarda,1884,cdvh,1768
119,TRUE,40,Mate,Black,10+0,omid163,1756,cdvh,1756
120,TRUE,49,Out of Time,White,8+0,cdvh,1724,capito2017,1958
121,TRUE,50,Resign,Black,10+0,chess-brahs,2036,cdvh,1706
122,TRUE,59,Mate,White,10+0,cdvh,1706,dashy1,925
123,TRUE,26,Out of Time,Black,15+15,mosheaugustyn,1244,sassou,1219
124,TRUE,23,Mate,White,15+15,sassou,1215,memoryberat,921
125,TRUE,118,Mate,Black,15+15,fatmat,1350,sassou,1201
126,TRUE,66,Mate,Black,15+15,sassou,1210,alpheus23,1280
127,TRUE,120,Draw,Draw,15+15,sureka_akshat,1139,sassou,1212
128,TRUE,36,Mate,Black,15+15,sassou,1220,kapi77,1341
129,TRUE,26,Mate,Black,15+15,sassou,1234,cohiba_313,1359
130,TRUE,62,Resign,Black,15+15,sassou,1275,bagelsfu,1236
131,TRUE,37,Resign,White,15+15,sabayossi,1433,sassou,1282
132,TRUE,24,Resign,Black,15+15,trelynn17,1132,sassou,1276
133,FALSE,47,Resign,White,30+2,sassou,1276,maougnassou,1308
134,TRUE,37,Resign,Black,15+15,laeufer26,1228,sassou,1266
135,TRUE,24,Resign,Black,15+15,sassou,1273,popsun,1409
136,TRUE,9,Resign,White,15+15,mdaboczi,1338,sassou,1277
137,TRUE,47,Mate,White,15+15,sassou,1263,marktop1,1336
138,TRUE,85,Mate,White,15+15,rougethunder,1316,sassou,1273
139,TRUE,39,Mate,White,15+15,sassou,1248,shobik24,1253
140,TRUE,58,Mate,Black,15+15,maninayebi,1335,sassou,1233
141,TRUE,95,Mate,White,15+15,sassou,1223,agilm,1189
142,TRUE,2,Resign,Black,15+15,pune123,1443,sassou,1204
143,TRUE,97,Mate,White,15+15,failedocean,1227,sassou,1216
144,TRUE,12,Draw,Draw,15+15,sassou,1215,lumipa,1219
145,TRUE,30,Resign,White,15+15,fastandbulbous420,1227,sassou,1227
146,TRUE,43,Mate,White,10+0,minimouf,1550,sassou,1225
147,TRUE,11,Resign,White,15+15,goodolddaystr,1325,sassou,1234
148,TRUE,72,Mate,Black,15+15,gonzalogp98,1212,sassou,1221
149,TRUE,156,Mate,Black,15+15,sassou,1226,vladimir_shindin,1478
150,TRUE,18,Resign,Black,25+0,sassou,1228,martin74,1626
151,FALSE,77,Mate,White,10+2,gotochess,1191,sassou,1228
152,TRUE,32,Resign,Black,30+0,quent0,1422,sassou,1210
153,TRUE,35,Resign,White,15+15,dangerflaps,1186,sassou,1223
154,TRUE,85,Mate,White,15+15,sassou,1212,shazzam9999,1212
155,TRUE,50,Resign,Black,15+15,sassou,1228,chessn00b47,1343
156,TRUE,111,Resign,White,10+10,japonxino,1865,isachess,1862
157,TRUE,65,Out of Time,White,7+2,isachess,1852,roshan_ie,1852
158,TRUE,73,Resign,White,15+0,cliff_walker,1833,isachess,1863
159,TRUE,125,Resign,White,15+0,isachess,1851,sergej1956,1918
160,TRUE,76,Resign,Black,15+0,isachess,1861,pogrib,1844
161,TRUE,65,Out of Time,White,10+0,isachess,1853,tartetatin,1774
162,TRUE,41,Mate,White,10+0,juncinmestrella,1910,isachess,1862
163,TRUE,59,Resign,White,10+0,isachess,1851,robinhood76,1890
164,TRUE,70,Resign,Black,15+5,tohaimr7,1860,isachess,1840
165,TRUE,34,Resign,White,25+25,zpectral-chess,1828,isachess,1848
166,TRUE,69,Out of Time,White,8+0,javier_temperley,1855,isachess,1858
167,TRUE,63,Resign,White,10+10,isachess,1847,jadesummer,1895
168,TRUE,107,Resign,White,10+10,jadesummer,1885,isachess,1856
169,TRUE,58,Resign,White,30+0,isachess,1847,borvel,1802
170,FALSE,34,Resign,Black,20+5,isachess,1847,homayoni,1856
171,TRUE,100,Out of Time,Black,15+0,demetrio50,1840,isachess,1837
172,TRUE,80,Resign,Black,5+5,isachess,1848,maxpiz5,1806
173,TRUE,44,Resign,Black,15+0,isachess,1860,philiveykk,1820
174,TRUE,40,Out of Time,Black,10+0,azcatdave,1854,isachess,1849
175,TRUE,105,Out of Time,White,10+0,fikr,1895,isachess,1859
176,TRUE,50,Resign,Black,15+0,isachess,1866,samdooley,1965
177,FALSE,144,Out of Time,Draw,10+0,isachess,1866,teguhmaster,1843
178,FALSE,81,Resign,Black,10+0,nf3isstrong,1835,isachess,1866
179,TRUE,69,Resign,Black,15+0,isachess,1877,dzigibau,1860
180,TRUE,77,Mate,White,7+8,edil1800,1849,isachess,1874
181,TRUE,158,Mate,Black,6+6,humb,1835,isachess,1865
182,TRUE,107,Draw,Draw,15+5,isachess,1866,claudiucojo,1835
183,TRUE,117,Mate,White,15+0,isachess,1856,abikhoshnavaz,1829
184,TRUE,44,Resign,White,10+0,isachess,1845,sakkkakas,1846
185,TRUE,40,Resign,Black,15+0,seetripuu,1834,isachess,1835
186,TRUE,59,Resign,White,15+5,seif22,1846,isachess,1845
187,FALSE,110,Resign,Black,10+0,isachess,1845,nicolo97,1917
188,TRUE,30,Resign,Black,15+0,isachess,1858,tajbo4,1790
189,TRUE,54,Resign,Black,10+0,nespil,1871,isachess,1847
